User Name,Repo Name,Stars,Repo URL
mrdoob,three.js,90100,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,21900,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,19600,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,16400,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15200,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14800,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13500,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10100,https://github.com/CesiumGS/cesium
metafizzy,zdog,9700,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8800,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8300,https://github.com/isl-org/Open3D
blender,blender,8000,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6100,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6000,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5400,https://github.com/openscad/openscad
google,model-viewer,5400,https://github.com/google/model-viewer
spritejs,spritejs,5100,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4900,https://github.com/jagenjo/webglstudio.js
