User Name,Repo Name,Stars,Repo URL
public-apis,public-apis,232000,https://github.com/public-apis/public-apis
neovim,neovim,63900,https://github.com/neovim/neovim
tiangolo,fastapi,55900,https://github.com/tiangolo/fastapi
strapi,strapi,52600,https://github.com/strapi/strapi
hoppscotch,hoppscotch,50600,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,46200,https://github.com/ocornut/imgui
slatedocs,slate,35100,https://github.com/slatedocs/slate
meilisearch,meilisearch,34900,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
ccxt,ccxt,27600,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,27400,https://github.com/Binaryify/NeteaseCloudMusicApi
Kong,insomnia,27300,https://github.com/Kong/insomnia
httpie,httpie,27000,https://github.com/httpie/httpie
YMFE,yapi,25800,https://github.com/YMFE/yapi
encode,django-rest-framework,25200,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,23400,https://github.com/littlecodersh/ItChat
trpc,trpc,23400,https://github.com/trpc/trpc
microsoft,api-guidelines,21100,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
directus,directus,20700,https://github.com/directus/directus
