User Name,Repo Name,Stars,Repo URL
jwasham,coding-interview-university,252000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,165000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,87600,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59400,https://github.com/kdn251/interviews
TheAlgorithms,Java,50800,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50800,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,42500,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,37000,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29400,https://github.com/halfrost/LeetCode-Go
huihut,interview,28200,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27100,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,JavaScript,25800,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23700,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22400,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20900,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,17900,https://github.com/AtsushiSakai/PythonRobotics
