User Name,Repo Name,Stars,Repo URL
flutter,flutter,151000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,79800,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,62900,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,47800,https://github.com/google/material-design-icons
Solido,awesome-flutter,46000,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,45800,https://github.com/wasabeef/awesome-android-ui
square,okhttp,43700,https://github.com/square/okhttp
android,architecture-samples,42400,https://github.com/android/architecture-samples
square,retrofit,41300,https://github.com/square/retrofit
dcloudio,uni-app,37900,https://github.com/dcloudio/uni-app
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36300,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,35100,https://github.com/laurent22/joplin
skylot,jadx,33900,https://github.com/skylot/jadx
airbnb,lottie-android,33700,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33500,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33500,https://github.com/bumptech/glide
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
