User Name,Repo Name,Stars,Repo URL
sindresorhus,awesome,246000,https://github.com/sindresorhus/awesome
vinta,awesome-python,161000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,125000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,98700,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,93200,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,70700,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,66500,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,62900,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,59000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,54300,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,50300,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,49500,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,46300,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46000,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,45800,https://github.com/wasabeef/awesome-android-ui
fffaraz,awesome-cpp,44800,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,44200,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42300,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,40300,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,37800,https://github.com/dypsilon/frontend-dev-bookmarks
