User Name,Repo Name,Stars,Repo URL
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,65800,https://github.com/nvm-sh/nvm
junegunn,fzf,51100,https://github.com/junegunn/fzf
google,zx,36800,https://github.com/google/zx
starship,starship,33300,https://github.com/starship/starship
dylanaraps,pure-bash-bible,33200,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,32900,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,31700,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,30800,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
dylanaraps,neofetch,17600,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14900,https://github.com/rbenv/rbenv
faressoft,terminalizer,13900,https://github.com/faressoft/terminalizer
shelljs,shelljs,13700,https://github.com/shelljs/shelljs
powerline,powerline,13700,https://github.com/powerline/powerline
Bash-it,bash-it,13400,https://github.com/Bash-it/bash-it
