User Name,Repo Name,Stars,Repo URL
Genymobile,scrcpy,79800,https://github.com/Genymobile/scrcpy
neovim,neovim,63900,https://github.com/neovim/neovim
obsproject,obs-studio,46400,https://github.com/obsproject/obs-studio
git,git,45700,https://github.com/git/git
fffaraz,awesome-cpp,44800,https://github.com/fffaraz/awesome-cpp
FFmpeg,FFmpeg,35000,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,34700,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,29900,https://github.com/vim/vim
curl,curl,28900,https://github.com/curl/curl
huihut,interview,28200,https://github.com/huihut/interview
ggreer,the_silver_searcher,24700,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,22200,https://github.com/pbatard/rufus
mpv-player,mpv,21800,https://github.com/mpv-player/mpv
ossrs,srs,21100,https://github.com/ossrs/srs
ruby,ruby,20100,https://github.com/ruby/ruby
google,flatbuffers,20100,https://github.com/google/flatbuffers
oracle,graal,18400,https://github.com/oracle/graal
microsoft,vcpkg,18100,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,18100,https://github.com/kovidgoyal/kitty
radareorg,radare2,17800,https://github.com/radareorg/radare2
