User Name,Repo Name,Stars,Repo URL
iamadamdev,bypass-paywalls-chrome,34600,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20600,https://github.com/refined-github/refined-github
darkreader,darkreader,16300,https://github.com/darkreader/darkreader
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
unbug,codelf,13500,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,12400,https://github.com/wong2/chatgpt-google-extension
dailydotdev,daily,12200,https://github.com/dailydotdev/daily
yetone,openai-translator,11600,https://github.com/yetone/openai-translator
Anarios,return-youtube-dislike,10900,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,10600,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10500,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,9800,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,8100,https://github.com/alyssaxuu/screenity
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6600,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6600,https://github.com/AutomaApp/automa
alyssaxuu,omni,6100,https://github.com/alyssaxuu/omni
dessant,buster,5800,https://github.com/dessant/buster
