User Name,Repo Name,Stars,Repo URL
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,51100,https://github.com/junegunn/fzf
sharkdp,bat,40300,https://github.com/sharkdp/bat
sherlock-project,sherlock,40000,https://github.com/sherlock-project/sherlock
google,zx,36800,https://github.com/google/zx
BurntSushi,ripgrep,36800,https://github.com/BurntSushi/ripgrep
wagoodman,dive,36200,https://github.com/wagoodman/dive
chubin,cheat.sh,34900,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,33500,https://github.com/jesseduffield/lazygit
cli,cli,31800,https://github.com/cli/cli
spf13,cobra,31200,https://github.com/spf13/cobra
n8n-io,n8n,29100,https://github.com/n8n-io/n8n
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
httpie,httpie,27000,https://github.com/httpie/httpie
sharkdp,fd,26800,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,26200,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26000,https://github.com/angular/angular-cli
tqdm,tqdm,24300,https://github.com/tqdm/tqdm
google,python-fire,24200,https://github.com/google/python-fire
vercel,pkg,23000,https://github.com/vercel/pkg
